PhoneNumber,Name,City,State,Carrier,Type,SpamScore
+919380799835,Rakesh Solanki,Kolkata,West Bengal,Airtel,Mobile,0
+919079420094,Vijay Barua,Kolkata,West Bengal,Airtel,Mobile,0
+919256024472,Sachin Goyal,Pune,Maharashtra,Airtel,Mobile,0
+919459378729,Savita Dey,Chandigarh,Punjab,BSNL,Mobile,0
+919614320222,Sapna Talwar,Gwalior,Madhya Pradesh,Airtel,Mobile,0
+919456642580,Karun Banerjee,Mysore,Karnataka,Jio,Mobile,0
+917331962041,Rohit Rathore,Ludhiana,Punjab,Vodafone Idea,Mobile,0
+918739829409,Mohan Singh,Vadodara,Gujarat,Airtel,Mobile,0
+919679138053,Vivaan Rao,Amritsar,Punjab,Vodafone Idea,Mobile,0
+917671983148,Ayaan Jadeja,Surat,Gujarat,Jio,Mobile,0
+919186842127,Manju Shetty,Mumbai,Maharashtra,Jio,Mobile,0
+918250887350,Rachna Gupta,Nagpur,Maharashtra,BSNL,Mobile,0
+916198527383,Lalita Singh,Nagpur,Maharashtra,BSNL,Mobile,0
+919580145291,Shalini Wani,Gurugram,Haryana,Jio,Mobile,0
+917960140662,Pradeep Mir,Dehradun,Uttarakhand,Jio,Mobile,0
+919010090845,Mukesh Mathur,Nashik,Maharashtra,BSNL,Mobile,0
+918413966203,Gurpreet Pai,Ranchi,Jharkhand,Airtel,Mobile,0
+918716280032,Radha Jadeja,Amritsar,Punjab,BSNL,Mobile,0
+918418772596,Kabir More,Gurugram,Haryana,Vodafone Idea,Mobile,0
+917838430946,Vipul Warrier,Tiruchirappalli,Tamil Nadu,Airtel,Mobile,0
+919958148286,Amit Deshmukh,Chennai,Tamil Nadu,BSNL,Mobile,0
+917816276700,Dhruv Das,Nagpur,Maharashtra,Airtel,Mobile,0
+919498749043,Namita Shetty,Jaipur,Rajasthan,Vodafone Idea,Mobile,0
+916353381213,Arjun Pant,Rajkot,Gujarat,Jio,Mobile,0
+916132350788,Aditya Mehra,Madurai,Tamil Nadu,BSNL,Mobile,0
+919361714190,Anita Bhatia,Patna,Bihar,BSNL,Mobile,0
+918284437279,Pankaj Warrier,Bhubaneswar,Odisha,Jio,Mobile,0
+917626355829,Usha Yadav,Ludhiana,Punjab,Jio,Mobile,0
+919753262652,Harpreet Patel,Chennai,Tamil Nadu,Jio,Mobile,0
+919667575716,Naveen Pant,Chandigarh,Punjab,BSNL,Mobile,0
+919096039025,Aarohi Verma,Allahabad,Uttar Pradesh,Jio,Mobile,0
+917454457431,Nikhil Nair,Srinagar,Jammu & Kashmir,Jio,Mobile,0
+919160969448,Rakesh Jain,Allahabad,Uttar Pradesh,BSNL,Mobile,0
+917245118669,Girish Singhal,Lucknow,Uttar Pradesh,BSNL,Mobile,0
+918669176683,Reema Paul,Chennai,Tamil Nadu,Vodafone Idea,Mobile,0
+917865318605,Nitesh Patil,Mumbai,Maharashtra,Airtel,Mobile,0
+918291417769,Kapil Sen,Indore,Madhya Pradesh,Jio,Mobile,0
+918812355776,Nitin Nair,Chennai,Tamil Nadu,Vodafone Idea,Mobile,0
+919463854674,Manpreet Reddy,Jammu,Jammu & Kashmir,Jio,Mobile,0
+919968911403,Amit Dar,Jaipur,Rajasthan,Vodafone Idea,Mobile,0
+919638581933,Usha Mehra,Chandigarh,Punjab,Airtel,Mobile,0
+918462919953,Rupesh Das,Bangalore,Karnataka,Airtel,Mobile,0
+919231132166,Mukesh Pant,Lucknow,Uttar Pradesh,Airtel,Mobile,0
+919545576820,Archana Gogoi,Varanasi,Uttar Pradesh,BSNL,Mobile,0
+918997957172,Lakshmi Tandon,Patna,Bihar,Vodafone Idea,Mobile,0
+918513960474,Pari More,Jaipur,Rajasthan,Airtel,Mobile,0
+916158256181,Ashish Desai,Chennai,Tamil Nadu,Jio,Mobile,0
+917738399067,Priya Chauhan,Udaipur,Rajasthan,Vodafone Idea,Mobile,0
+917789294902,Puneet Biswas,Lucknow,Uttar Pradesh,Jio,Mobile,0
+919816552205,Poonam Nair,Jabalpur,Madhya Pradesh,Airtel,Mobile,0
+917814189904,Shaurya Kulkarni,Allahabad,Uttar Pradesh,Airtel,Mobile,0
+918419230483,Ravi Shinde,Chennai,Tamil Nadu,BSNL,Mobile,0
+918484503114,Geeta Mathur,Amritsar,Punjab,BSNL,Mobile,0
+917458003689,Manoj Pawar,Belgaum,Karnataka,Jio,Mobile,0
+918824407621,Nandini Bora,Bhopal,Madhya Pradesh,Vodafone Idea,Mobile,0
+918125074197,Yogesh Mitra,Agra,Uttar Pradesh,Vodafone Idea,Mobile,0
+917783672378,Pradeep Biswas,Bangalore,Karnataka,Vodafone Idea,Mobile,0
+917728359073,Lakhan Gupta,Bhubaneswar,Odisha,Jio,Mobile,0
+917590990989,Gurpreet Hegde,Aurangabad,Maharashtra,BSNL,Mobile,0
+919226662985,Harpreet Banerjee,Thane,Maharashtra,Vodafone Idea,Mobile,0
+917918082126,Harish Patil,Noida,Uttar Pradesh,Jio,Mobile,0
+918018975039,Anita Warrier,Nashik,Maharashtra,Airtel,Mobile,0
+919582512775,Geeta Jadeja,Tiruchirappalli,Tamil Nadu,BSNL,Mobile,0
+919968101998,Sneha Barua,Allahabad,Uttar Pradesh,Vodafone Idea,Mobile,0
+917624417486,Vinita Sethi,Indore,Madhya Pradesh,Vodafone Idea,Mobile,0
+917867102816,Jayesh Shukla,Delhi,Delhi,Jio,Mobile,0
+917677435177,Divya Dhawan,Gurugram,Haryana,Jio,Mobile,0
+919643580146,Ananya Das,Shimla,Himachal Pradesh,Airtel,Mobile,0
+918090109203,Naveen Joshi,Hyderabad,Telangana,Vodafone Idea,Mobile,0
+919041138443,Swati Iyer,Lucknow,Uttar Pradesh,Vodafone Idea,Mobile,0
+918790620131,Manish Modi,Ghaziabad,Uttar Pradesh,Vodafone Idea,Mobile,0
+918485400490,Aarav Shukla,Gwalior,Madhya Pradesh,BSNL,Mobile,0
+917533114635,Mohit Patil,Mumbai,Maharashtra,Vodafone Idea,Mobile,0
+918571643884,Nikhil Gupta,Ranchi,Jharkhand,Jio,Mobile,0
+916349206896,Sachin Iyer,Nagpur,Maharashtra,Jio,Mobile,0
+917838728795,Mahesh Pillai,Surat,Gujarat,Jio,Mobile,0
+919985679789,Puneet Tiwari,Jodhpur,Rajasthan,Jio,Mobile,0
+917170154259,Sneha Barua,Patna,Bihar,Airtel,Mobile,0
+918332030975,Naman Bhatia,Mysore,Karnataka,Airtel,Mobile,0
+918745841982,Vinita Rao,Jodhpur,Rajasthan,Jio,Mobile,0
+917065210993,Priya Ghosh,Chennai,Tamil Nadu,Jio,Mobile,0
+919251811580,Pavan Pawar,Bhopal,Madhya Pradesh,Airtel,Mobile,0
+917244860009,Arun Shinde,Mumbai,Maharashtra,Jio,Mobile,0
+917782840012,Ashish Verma,Gurugram,Haryana,BSNL,Mobile,0
+918921202432,Hitesh Shukla,Jodhpur,Rajasthan,Jio,Mobile,0
+918861675623,Rupesh Dey,Bhubaneswar,Odisha,Jio,Mobile,0
+916379357264,Nandini Singh,Mysore,Karnataka,Airtel,Mobile,0
+917246124152,Satish Nair,Rajkot,Gujarat,Vodafone Idea,Mobile,0
+918399623882,Gurpreet Jain,Hubli,Karnataka,Vodafone Idea,Mobile,0
+919629274545,Bhavna Mishra,Srinagar,Jammu & Kashmir,Airtel,Mobile,0
+916092970125,Rakesh Paul,Agra,Uttar Pradesh,Vodafone Idea,Mobile,0
+917598093281,Aarush Bora,Aurangabad,Maharashtra,Jio,Mobile,0
+918946083097,Poonam Pandey,Rajkot,Gujarat,Airtel,Mobile,0
+919654480669,Vikram Singhal,Dehradun,Uttarakhand,BSNL,Mobile,0
+919454196517,Karun Chatterjee,Surat,Gujarat,BSNL,Mobile,0
+917935326601,Nandini Dey,Bhopal,Madhya Pradesh,BSNL,Mobile,0
+918233673380,Kiran Naidu,Visakhapatnam,Andhra Pradesh,Airtel,Mobile,0
+918696344679,Sushma Sethi,Hyderabad,Telangana,Vodafone Idea,Mobile,0
+919982697884,Karun Goyal,Aurangabad,Maharashtra,Airtel,Mobile,0
+918216406869,Anjali Gupta,Bangalore,Karnataka,Airtel,Mobile,0
+919264923169,Divya Gogoi,Kolkata,West Bengal,Airtel,Mobile,0
+919216354462,Sachin Patel,Amritsar,Punjab,BSNL,Mobile,0
+919566100550,Priya Agarwal,Hubli,Karnataka,BSNL,Mobile,0
+917118589291,Sushma Tandon,Navi Mumbai,Maharashtra,Airtel,Mobile,0
+919947678539,Lalita Goyal,Nashik,Maharashtra,Jio,Mobile,0
+918557991373,Manoj Arora,Hyderabad,Telangana,Jio,Mobile,0
+917921266574,Tushar Barua,Srinagar,Jammu & Kashmir,BSNL,Mobile,0
+916090658953,Manpreet Shetty,Jabalpur,Madhya Pradesh,Airtel,Mobile,0
+919730099092,Jaspreet Sarkar,Indore,Madhya Pradesh,BSNL,Mobile,0
+917355490960,Anika Jadhav,Rajkot,Gujarat,Vodafone Idea,Mobile,0
+918694432099,Sandeep Singh,Srinagar,Jammu & Kashmir,Airtel,Mobile,0
+918065133477,Roshan Bora,Srinagar,Jammu & Kashmir,BSNL,Mobile,0
+917695119029,Usha Gupta,Chandigarh,Punjab,Airtel,Mobile,0
+917891128695,Lalita Thakur,Chandigarh,Punjab,Jio,Mobile,0
+919183066042,Satish Jadhav,Gwalior,Madhya Pradesh,Airtel,Mobile,0
+917784786925,Archana Sharma,Allahabad,Uttar Pradesh,Jio,Mobile,0
+916250094849,Aarav Iyer,Indore,Madhya Pradesh,Vodafone Idea,Mobile,0
+919878643394,Shikha Yadav,Agra,Uttar Pradesh,Vodafone Idea,Mobile,0
+918441812740,Anvi Tomar,Hubli,Karnataka,Jio,Mobile,0
+918593750948,Lalit More,Jabalpur,Madhya Pradesh,Jio,Mobile,0
+918547260366,Priya Saxena,Jammu,Jammu & Kashmir,BSNL,Mobile,0
+919290923223,Usha Rawat,Dehradun,Uttarakhand,Airtel,Mobile,0
+919713871004,Vihaan Saxena,Vadodara,Gujarat,Airtel,Mobile,0
+919912793663,Raman Arora,Aurangabad,Maharashtra,Jio,Mobile,0
+916042072430,Harpreet Jadeja,Mumbai,Maharashtra,Vodafone Idea,Mobile,0
+917947229005,Geeta Desai,Mumbai,Maharashtra,Vodafone Idea,Mobile,0
+916272055152,Myra Bhatia,Agra,Uttar Pradesh,Airtel,Mobile,0
+917592201910,Harpreet Mukherjee,Ghaziabad,Uttar Pradesh,BSNL,Mobile,0
+919994758001,Shalini Pandey,Hyderabad,Telangana,Jio,Mobile,0
+919111226403,Ritu Talwar,Mangalore,Karnataka,Airtel,Mobile,0
+919297992681,Jaspreet Raina,Indore,Madhya Pradesh,Airtel,Mobile,0
+916081004801,Reema Malhotra,Thane,Maharashtra,Vodafone Idea,Mobile,0
+918076133390,Vinita Dey,Noida,Uttar Pradesh,Airtel,Mobile,0
+919842520659,Nandini Shinde,Agra,Uttar Pradesh,BSNL,Mobile,0
+919536612833,Chetan Chauhan,Jammu,Jammu & Kashmir,BSNL,Mobile,0
+918780274838,Ganesh Raina,Mangalore,Karnataka,Airtel,Mobile,0
+919659318618,Rajeev Menon,Ghaziabad,Uttar Pradesh,Airtel,Mobile,0
+919239847924,Poonam Mitra,Dehradun,Uttarakhand,Vodafone Idea,Mobile,0
+919588784315,Mohit Mir,Guwahati,Assam,Vodafone Idea,Mobile,0
+917627182663,Lalit Jain,Madurai,Tamil Nadu,Jio,Mobile,0
+917282467758,Anvi Kamath,Thiruvananthapuram,Kerala,Jio,Mobile,0
+919759609472,Sanjay Suri,Mumbai,Maharashtra,Jio,Mobile,0
+917074857942,Nisha Chauhan,Visakhapatnam,Andhra Pradesh,Jio,Mobile,0
+916382299687,Swapna Pandey,Belgaum,Karnataka,Jio,Mobile,0
+918033678959,Mukesh Paul,Gurugram,Haryana,Vodafone Idea,Mobile,0
+916180161827,Amita Singhal,Hubli,Karnataka,BSNL,Mobile,0
+918391941133,Myra Talwar,Bhopal,Madhya Pradesh,Jio,Mobile,0
+918877602313,Tejinder Ghosh,Hyderabad,Telangana,BSNL,Mobile,0
+917029642028,Lakhan Kurup,Bhubaneswar,Odisha,Airtel,Mobile,0
+918245810779,Rahul Dey,Navi Mumbai,Maharashtra,Airtel,Mobile,0
+918723881474,Atharv Tiwari,Allahabad,Uttar Pradesh,BSNL,Mobile,0
+919864072869,Diya Chopra,Delhi,Delhi,Jio,Mobile,0
+918740259903,Pradeep Mitra,Jodhpur,Rajasthan,BSNL,Mobile,0
+917248611555,Lalita Jain,Hyderabad,Telangana,Jio,Mobile,0
+918280107621,Mukesh Mir,Allahabad,Uttar Pradesh,Jio,Mobile,0
+916377221417,Vikram Warrier,Allahabad,Uttar Pradesh,BSNL,Mobile,0
+916284048115,Anjali Warrier,Gurugram,Haryana,BSNL,Mobile,0
+919835071946,Rajeev Pawar,Madurai,Tamil Nadu,Vodafone Idea,Mobile,0
+919729435654,Amita Wani,Nashik,Maharashtra,Vodafone Idea,Mobile,0
+917533740189,Dhruv Barua,Chennai,Tamil Nadu,Airtel,Mobile,0
+919582004895,Jitesh Modi,Ranchi,Jharkhand,Jio,Mobile,0
+918792828726,Aadhya Pai,Hyderabad,Telangana,Jio,Mobile,0
+916016493358,Sumit Rathore,Pune,Maharashtra,Vodafone Idea,Mobile,0
+918176105112,Naveen Mehta,Dehradun,Uttarakhand,Jio,Mobile,0
+919636169939,Dhruv Banerjee,Nashik,Maharashtra,Airtel,Mobile,0
+917682096275,Neha Agarwal,Varanasi,Uttar Pradesh,Airtel,Mobile,0
+918726468044,Aditya Chatterjee,Visakhapatnam,Andhra Pradesh,Airtel,Mobile,0
+918043679737,Lakhan Kaul,Amritsar,Punjab,Vodafone Idea,Mobile,0
+918363540206,Savita More,Thiruvananthapuram,Kerala,Airtel,Mobile,0
+918081847296,Kuldeep Mishra,Delhi,Delhi,Jio,Mobile,0
+919793952082,Myra Mukherjee,Mumbai,Maharashtra,Vodafone Idea,Mobile,0
+918652499737,Hitesh Patil,Gurugram,Haryana,Jio,Mobile,0
+918547779122,Poonam Desai,Delhi,Delhi,BSNL,Mobile,0
+918434847821,Naman Pawar,Patna,Bihar,Vodafone Idea,Mobile,0
+917993974485,Suresh Gowda,Pune,Maharashtra,Jio,Mobile,0
+918250341378,Anvi Shekhawat,Allahabad,Uttar Pradesh,Airtel,Mobile,0
+918339347820,Sapna Chauhan,Tiruchirappalli,Tamil Nadu,BSNL,Mobile,0
+918567779540,Arun Saikia,Shimla,Himachal Pradesh,Airtel,Mobile,0
+916127831895,Lalita Patil,Salem,Tamil Nadu,Airtel,Mobile,0
+919652903228,Garima Shinde,Bhopal,Madhya Pradesh,Vodafone Idea,Mobile,0
+917823164513,Rohan Naidu,Vadodara,Gujarat,Airtel,Mobile,0
+916353962852,Nisha Biswas,Varanasi,Uttar Pradesh,BSNL,Mobile,0
+919792058710,Harpreet Deshmukh,Shimla,Himachal Pradesh,Airtel,Mobile,0
+919891377150,Archana Solanki,Pune,Maharashtra,BSNL,Mobile,0
+919030734050,Mukesh Mathur,Srinagar,Jammu & Kashmir,Vodafone Idea,Mobile,0
+917558491458,Sara Patil,Dehradun,Uttarakhand,BSNL,Mobile,0
+916394416273,Jaspreet Wani,Vadodara,Gujarat,Vodafone Idea,Mobile,0
+919288937488,Diya Banerjee,Ghaziabad,Uttar Pradesh,BSNL,Mobile,0
+919689792557,Amit Modi,Mumbai,Maharashtra,Jio,Mobile,0
+917523637938,Padma Tiwari,Mangalore,Karnataka,Vodafone Idea,Mobile,0
+919661984249,Ravi Kumar,Salem,Tamil Nadu,Jio,Mobile,0
+917329898565,Tarun Thakur,Surat,Gujarat,Vodafone Idea,Mobile,0
+919835270005,Sushma Pawar,Srinagar,Jammu & Kashmir,Vodafone Idea,Mobile,0
+917147394362,Gaurav Bhat,Navi Mumbai,Maharashtra,Vodafone Idea,Mobile,0
+919391688206,Reyansh Naidu,Ludhiana,Punjab,Airtel,Mobile,0
+917771956259,Priya Singh,Hubli,Karnataka,Airtel,Mobile,0
+917571527888,Tejinder Jadhav,Dehradun,Uttarakhand,BSNL,Mobile,0
+917019524545,Lalita Bora,Ghaziabad,Uttar Pradesh,Jio,Mobile,0
+918869676512,Pradeep Raina,Bangalore,Karnataka,Jio,Mobile,0
+918286515076,Kiran Mathur,Nashik,Maharashtra,Vodafone Idea,Mobile,0
+916220184608,Girish Paul,Ludhiana,Punjab,Jio,Mobile,0
+918199529792,Vineet Sethi,Mangalore,Karnataka,Jio,Mobile,0
+917944402625,Geeta Mehra,Pune,Maharashtra,BSNL,Mobile,0
+918326264879,Swati Joshi,Ludhiana,Punjab,Jio,Mobile,0
+919359052909,Lalita Kumar,Chandigarh,Punjab,Airtel,Mobile,0
+919720146208,Sunil Saikia,Jodhpur,Rajasthan,Airtel,Mobile,0
+917137497516,Vandana Parmar,Surat,Gujarat,BSNL,Mobile,0
+919836791589,Tejinder Patil,Nagpur,Maharashtra,BSNL,Mobile,0
+916240829777,Umesh Mukherjee,Navi Mumbai,Maharashtra,Vodafone Idea,Mobile,0
+916361500921,Lokesh Bajaj,Lucknow,Uttar Pradesh,BSNL,Mobile,0
+917426295369,Suresh Khanna,Mangalore,Karnataka,Jio,Mobile,0
+917391550749,Ganesh Shah,Ahmedabad,Gujarat,BSNL,Mobile,0
+918584527229,Varun Goyal,Ghaziabad,Uttar Pradesh,Vodafone Idea,Mobile,0
+919682178592,Divya Bora,Coimbatore,Tamil Nadu,Vodafone Idea,Mobile,0
+918653385804,Mohit Thakur,Allahabad,Uttar Pradesh,BSNL,Mobile,0
+919391245596,Rajesh Dhawan,Delhi,Delhi,BSNL,Mobile,0
+919720120664,Aman Jadeja,Ranchi,Jharkhand,Vodafone Idea,Mobile,0
+919216496792,Radha Singhal,Vadodara,Gujarat,Jio,Mobile,0
+917067539302,Vikram Tiwari,Mangalore,Karnataka,BSNL,Mobile,0
+918741005598,Diya Sen,Dehradun,Uttarakhand,Jio,Mobile,0
+919324191193,Geeta Das,Jammu,Jammu & Kashmir,Airtel,Mobile,0
+917891397173,Sukhpreet Nair,Jabalpur,Madhya Pradesh,Vodafone Idea,Mobile,0
+918285957981,Shaurya Bisht,Jammu,Jammu & Kashmir,Vodafone Idea,Mobile,0
+919977623704,Aarohi Dar,Mangalore,Karnataka,BSNL,Mobile,0
+919383775788,Arun Jadeja,Navi Mumbai,Maharashtra,Airtel,Mobile,0
+919475881000,Ananya Roy,Pune,Maharashtra,Jio,Mobile,0
+917087416034,Sarita Pillai,Faridabad,Haryana,Vodafone Idea,Mobile,0
