PhoneNumber,Name,Location,Carrier,Type,SpamScore
+917348119936,Rahul Sharma,Hyderabad,Vodafone Idea,Mobile,0
+916679924889,Pradeep Yadav 4,Vadodara,BSNL,Mobile,0
+916732729690,Nandini Agarwal,Coimbatore,Airtel,Mobile,0
+918376570209,Sunita Chauhan,Surat,Airtel,Mobile,0
+919755469275,Suresh Reddy,Kochi,Vodafone Idea,Mobile,0
+919646840352,Swati Iyer,Mysore,Vodafone Idea,Mobile,0
+917021052241,Geeta Saxena 87,Lucknow,Vodafone Idea,Mobile,0
+916023745249,Nandini Agarwal 40,Ahmedabad,BSNL,Mobile,0
+917687193924,Gaurav Thakur,Nagpur,Vodafone Idea,Mobile,0
+916329744773,Gaurav Thakur,Nagpur,Vodafone Idea,Mobile,0
+917911401745,Priya Sharma,Coimbatore,Jio,Mobile,0
+917891041333,Anjali Singh 12,Indore,BSNL,Mobile,0
+918791731975,Meera Joshi,Lucknow,Jio,Mobile,0
+919679940701,Rekha Mishra,Nagpur,Jio,Mobile,0
+918824286697,Rohit Mishra 38,Mysore,Vodafone Idea,Mobile,0
+918848039249,Karthik Iyer 76,Chennai,Airtel,Mobile,0
+916940617238,Lakshmi Thakur,Coimbatore,Vodafone Idea,Mobile,0
+918369641439,Anjali Singh,Mysore,Vodafone Idea,Mobile,0
+916237960772,Sneha Verma 25,Vizag,Vodafone Idea,Mobile,0
+916970147308,Sneha Verma 24,Vadodara,BSNL,Mobile,0
+918386447880,Suresh Reddy,Lucknow,Vodafone Idea,Mobile,0
+918621458484,Shalini Bhat,Surat,BSNL,Mobile,0
+919355160299,Gaurav Thakur 69,Hyderabad,Vodafone Idea,Mobile,0
+917979973785,Priya Sharma,Chennai,BSNL,Mobile,0
+918185417323,Radha Pandey 44,Hyderabad,BSNL,Mobile,0
+918296697594,Rahul Sharma,Coimbatore,Jio,Mobile,0
+916617572908,Kavita Gupta 32,Vizag,Airtel,Mobile,0
+916586184560,Priya Sharma,Vadodara,Jio,Mobile,0
+916140496449,Lakshmi Thakur,Delhi,Jio,Mobile,0
+919358633753,Vikram Singh,Pune,Airtel,Mobile,0
